"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"DCIS_1"	"DCIS_2"
"hsa04620 Toll-like receptor signaling pathway"	0.608410777145663	0.279621789529318	0.653519083394062	0.965784059737465	92	0.645537300076287	0.573419496756027
"hsa04621 NOD-like receptor signaling pathway"	0.606551606231035	0.283972223353857	0.655552845734901	0.965784059737465	49	0.674017806204408	0.545838474347182
"hsa04910 Insulin signaling pathway"	0.616723097604972	0.29780656023383	0.663017735129442	0.965784059737465	131	0.603025764959845	0.630731556129777
"hsa04330 Notch signaling pathway"	0.61673549943564	0.319503734037126	0.673651402983322	0.965784059737465	40	0.703292231902799	0.540831618792425
"hsa04920 Adipocytokine signaling pathway"	0.564285106688323	0.338308773795414	0.683039712019711	0.965784059737465	65	0.381125298856098	0.835467187788227
"hsa04115 p53 signaling pathway"	0.612109269212556	0.359178354320337	0.693607326834379	0.965784059737465	61	0.482822089404498	0.776016188319073
"hsa04066 HIF-1 signaling pathway"	0.639081846547864	0.359214431378621	0.694005189072071	0.965784059737465	97	0.611586962790118	0.667812807394963
"hsa04512 ECM-receptor interaction"	0.286000933517188	0.397762543243151	0.709105476580205	0.965784059737465	77	0.984755233571643	0.0830628070652969
"hsa03018 RNA degradation"	0.51983852571586	0.395359364293755	0.710188804474404	0.965784059737465	53	0.298516762248656	0.905249309227542
"hsa03440 Homologous recombination"	0.657802708727352	0.410916717144504	0.718147121343243	0.965784059737465	26	0.680409976403745	0.635946588990461
"hsa03430 Mismatch repair"	0.553420201393923	0.523160003114635	0.764690053652206	0.995116194343002	21	0.927852358311757	0.33008906704528
"hsa03020 RNA polymerase"	0.597807140601415	0.529244007141716	0.768540813600596	0.995116194343002	24	0.395427579691977	0.903764420358389
"hsa04964 Proximal tubule bicarbonate reclamation"	0.712607556702103	0.584524699415409	0.793299789385585	0.995116194343002	22	0.776712345552846	0.65379356048151
"hsa04612 Antigen processing and presentation"	0.552427435202157	0.599651439137503	0.799542564161178	0.995116194343002	63	0.950828959293206	0.320957905395397
"hsa04915 Estrogen signaling pathway"	0.691752671920414	0.600296690984554	0.801406344662687	0.995116194343002	92	0.850925112353199	0.562354726828661
"hsa03450 Non-homologous end-joining"	0.734416891693421	0.638760989979294	0.812182744252308	0.995116194343002	12	0.727407254765901	0.741494076764754
"hsa04140 Regulation of autophagy"	0.713733459818003	0.643420422226474	0.815821507237534	0.995116194343002	28	0.843362295359549	0.604029198918121
"hsa04130 SNARE interactions in vesicular transport"	0.715192588310567	0.64211964119096	0.816063346657372	0.995116194343002	30	0.841101767274088	0.608131451241722
"hsa03420 Nucleotide excision repair"	0.709821495785921	0.661781565050443	0.823642307418039	0.995116194343002	40	0.866025774568615	0.581791640243892
"hsa04962 Vasopressin-regulated water reabsorption"	0.712391048690756	0.665132545994856	0.825010861976677	0.995116194343002	41	0.864869097183529	0.586795166930356
"hsa04623 Cytosolic DNA-sensing pathway"	0.75629979398347	0.708904017716754	0.840877697100904	0.995899908067787	48	0.713265916758049	0.801930058538695
"hsa00970 Aminoacyl-tRNA biosynthesis"	0.575412696741747	0.744837191932895	0.847840695645907	0.995899908067787	32	0.341845031220807	0.968566868996682
"hsa03015 mRNA surveillance pathway"	0.757699936510507	0.739057707935842	0.851196502622041	0.995899908067787	70	0.840628495171265	0.682952335170438
"hsa04721 Synaptic vesicle cycle"	0.798260191062703	0.847408181312297	0.883546906810561	0.999999999282161	51	0.766313182117309	0.831539046313726
"hsa04622 RIG-I-like receptor signaling pathway"	0.77914079869579	0.866363513789533	0.888536942434931	0.999999999282161	59	0.897086726182777	0.676702002687561
"hsa03008 Ribosome biogenesis in eukaryotes"	0.565574428355434	0.890395436503214	0.891853749683916	0.999999999282161	56	0.324335615104755	0.986245170473374
"hsa02010 ABC transporters"	0.821058963415505	0.925604331003672	0.903257206798801	0.999999999282161	36	0.818310185020117	0.823816975207721
"hsa03022 Basal transcription factors"	0.839977988487648	1.02841539455081	0.925331759247068	0.999999999282161	36	0.888398824144625	0.794196257320681
"hsa04145 Phagosome"	0.842481826476066	1.09720500393615	0.939149110060319	0.999999999282161	131	0.929224069785168	0.763836894697039
"hsa04114 Oocyte meiosis"	0.734190033803302	1.16693720706734	0.949208223772001	0.999999999282161	90	0.986029995181926	0.546672016439663
"hsa04110 Cell cycle"	0.895426793052764	1.27691581191534	0.964089364703038	0.999999999282161	111	0.923092649573862	0.868590105323553
"hsa04966 Collecting duct acid secretion"	0.914785396029751	1.39562251670668	0.973727531822322	0.999999999282161	22	0.914610378739964	0.914960446810358
"hsa04120 Ubiquitin mediated proteolysis"	0.864347327502808	1.45649492203695	0.979743367357409	0.999999999282161	113	0.98602975135553	0.757681298697314
"hsa03040 Spliceosome"	0.930120284694055	1.49867639189267	0.982591654253257	0.999999999282161	106	0.911981411714638	0.948619931159353
"hsa04146 Peroxisome"	0.906896587466727	1.62918537897103	0.988774444795989	0.999999999282161	68	0.988246214518476	0.832243431116547
"hsa04142 Lysosome"	0.958826233342962	1.91039010062606	0.996380004828939	0.999999999282161	110	0.990192778184066	0.928453293138193
"hsa03013 RNA transport"	0.960870944860299	2.03404732044657	0.997853283152579	0.999999999282161	122	0.927876754816079	0.995038368926197
"hsa03060 Protein export"	0.992680175126067	2.85493520842242	0.999914284500892	0.999999999282161	18	0.99905575288754	0.986345283774412
"hsa03050 Proteasome"	0.9977996695666	3.01596713738114	0.999980644989839	0.999999999282161	39	0.999105248920351	0.9964957962768
"hsa04141 Protein processing in endoplasmic reticulum"	0.999988201414026	4.35563417963763	0.999999999282161	0.999999999282161	144	0.999980903743094	0.999995499138214
"hsa04122 Sulfur relay system"	NA	NA	NA	NA	8	NA	NA
