"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"hsa00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	NA	NA	NA	NA	0	NA
"hsa00561 Glycerolipid metabolism"	NA	NA	NA	NA	0	NA
"hsa00562 Inositol phosphate metabolism"	NA	NA	NA	NA	0	NA
"hsa00563 Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"	NA	NA	NA	NA	0	NA
"hsa00564 Glycerophospholipid metabolism"	NA	NA	NA	NA	0	NA
"hsa00565 Ether lipid metabolism"	NA	NA	NA	NA	0	NA
"hsa00590 Arachidonic acid metabolism"	NA	NA	NA	NA	0	NA
"hsa00591 Linoleic acid metabolism"	NA	NA	NA	NA	0	NA
"hsa00592 alpha-Linolenic acid metabolism"	NA	NA	NA	NA	0	NA
"hsa00600 Sphingolipid metabolism"	NA	NA	NA	NA	0	NA
"hsa00601 Glycosphingolipid biosynthesis - lacto and neolacto series"	NA	NA	NA	NA	0	NA
"hsa00603 Glycosphingolipid biosynthesis - globo series"	NA	NA	NA	NA	0	NA
"hsa00604 Glycosphingolipid biosynthesis - ganglio series"	NA	NA	NA	NA	0	NA
"hsa00620 Pyruvate metabolism"	NA	NA	NA	NA	0	NA
"hsa00630 Glyoxylate and dicarboxylate metabolism"	NA	NA	NA	NA	0	NA
"hsa00640 Propanoate metabolism"	NA	NA	NA	NA	0	NA
"hsa00650 Butanoate metabolism"	NA	NA	NA	NA	0	NA
"hsa00670 One carbon pool by folate"	NA	NA	NA	NA	0	NA
"hsa00730 Thiamine metabolism"	NA	NA	NA	NA	0	NA
"hsa00740 Riboflavin metabolism"	NA	NA	NA	NA	0	NA
"hsa00750 Vitamin B6 metabolism"	NA	NA	NA	NA	0	NA
"hsa00760 Nicotinate and nicotinamide metabolism"	NA	NA	NA	NA	0	NA
"hsa00770 Pantothenate and CoA biosynthesis"	NA	NA	NA	NA	0	NA
"hsa00780 Biotin metabolism"	NA	NA	NA	NA	0	NA
"hsa00785 Lipoic acid metabolism"	NA	NA	NA	NA	0	NA
"hsa00790 Folate biosynthesis"	NA	NA	NA	NA	0	NA
"hsa00830 Retinol metabolism"	NA	NA	NA	NA	0	NA
"hsa00860 Porphyrin and chlorophyll metabolism"	NA	NA	NA	NA	0	NA
"hsa00900 Terpenoid backbone biosynthesis"	NA	NA	NA	NA	0	NA
"hsa00910 Nitrogen metabolism"	NA	NA	NA	NA	0	NA
"hsa00920 Sulfur metabolism"	NA	NA	NA	NA	0	NA
"hsa00980 Metabolism of xenobiotics by cytochrome P450"	NA	NA	NA	NA	0	NA
"hsa00982 Drug metabolism - cytochrome P450"	NA	NA	NA	NA	0	NA
"hsa00983 Drug metabolism - other enzymes"	NA	NA	NA	NA	0	NA
"hsa01040 Biosynthesis of unsaturated fatty acids"	NA	NA	NA	NA	0	NA
